server_name,surface,returner_name,context,n_points,p_wide,p_body,p_t
Aaron Krickstein,,,Overall,779,0.4287548138639281,0.10526315789473684,0.46598202824133506
Abedallah Shelbayh,,,Overall,138,0.4782608695652174,0.15217391304347827,0.3695652173913043
Adam Pavlasek,,,Overall,186,0.3817204301075269,0.0913978494623656,0.5268817204301075
Adam Walton,,,Overall,170,0.4411764705882353,0.047058823529411764,0.5117647058823529
Adrian Andreev,,,Overall,589,0.5076400679117148,0.03225806451612903,0.4601018675721562
Adrian Garcia,,,Overall,117,0.5897435897435898,0.08547008547008547,0.3247863247863248
Adrian Mannarino,,,Overall,5236,0.5498472116119175,0.07639419404125286,0.3737585943468296
Adrian Voinea,,,Overall,40,0.3,0.3,0.4
Adriano Panatta,,,Overall,353,0.46742209631728043,0.24645892351274787,0.28611898016997167
Adrien Bossel,,,Overall,41,0.3902439024390244,0.07317073170731707,0.5365853658536586
Agustin Calleri,,,Overall,82,0.5609756097560976,0.17073170731707318,0.2682926829268293
Agustin Velotti,,,Overall,44,0.5454545454545454,0.045454545454545456,0.4090909090909091
Aisam Ul Haq Qureshi,,,Overall,90,0.4777777777777778,0.15555555555555556,0.36666666666666664
Akira Santillan,,,Overall,54,0.42592592592592593,0.1111111111111111,0.46296296296296297
Alan Mackin,,,Overall,65,0.3384615384615385,0.36923076923076925,0.2923076923076923
Albano Olivetti,,,Overall,60,0.4666666666666667,0.1,0.43333333333333335
Albert Costa,,,Overall,728,0.5315934065934066,0.1043956043956044,0.364010989010989
Albert Montanes,,,Overall,134,0.5149253731343284,0.09701492537313433,0.3880597014925373
Albert Ramos,,,Overall,2002,0.4485514485514486,0.09140859140859141,0.46003996003996006
Alberto Berasategui,,,Overall,317,0.3911671924290221,0.10410094637223975,0.5047318611987381
Alberto Mancini,,,Overall,295,0.46440677966101696,0.15932203389830507,0.376271186440678
Alberto Martin,,,Overall,75,0.4266666666666667,0.10666666666666667,0.4666666666666667
Alejandro Davidovich Fokina,,,Overall,4829,0.41064402567819425,0.23213915924622075,0.357216815075585
Alejandro Falla,,,Overall,568,0.3732394366197183,0.12147887323943662,0.5052816901408451
Alejandro Gonzalez,,,Overall,93,0.3548387096774194,0.27956989247311825,0.3655913978494624
Alejandro Lopez Escribano,,,Overall,61,0.39344262295081966,0.3770491803278688,0.22950819672131148
Alejandro Moro Canas,,,Overall,199,0.4020100502512563,0.19095477386934673,0.40703517587939697
Alejandro Tabilo,,,Overall,1652,0.48365617433414043,0.13075060532687652,0.3855932203389831
Aleksandar Kovacevic,,,Overall,568,0.44014084507042256,0.04929577464788732,0.5105633802816901
Aleksandar Vukic,,,Overall,1114,0.48922800718132853,0.06912028725314183,0.44165170556552963
Aleksandr Nedovyesov,,,Overall,151,0.48344370860927155,0.2185430463576159,0.2980132450331126
Aleksandre Metreveli,,,Overall,96,0.5104166666666666,0.10416666666666667,0.3854166666666667
Alessandro Giannessi,,,Overall,156,0.47435897435897434,0.17307692307692307,0.3525641025641026
Alex Barrena,,,Overall,49,0.5714285714285714,0.20408163265306123,0.22448979591836735
Alex Bogdanovic,,,Overall,66,0.4393939393939394,0.12121212121212122,0.4393939393939394
Alex Bogomolov Jr,,,Overall,50,0.4,0.12,0.48
Alex Bolt,,,Overall,264,0.48484848484848486,0.030303030303030304,0.48484848484848486
Alex Corretja,,,Overall,1814,0.5033076074972437,0.15490628445424476,0.34178610804851156
Alex De Minaur,,,Overall,9455,0.4321523003701745,0.16615547329455316,0.40169222633527235
Alex Kuznetsov,,,Overall,53,0.33962264150943394,0.1320754716981132,0.5283018867924528
Alex Marti Pujolras,,,Overall,47,0.46808510638297873,0.2765957446808511,0.2553191489361702
Alex Michelsen,,,Overall,1295,0.5057915057915058,0.1613899613899614,0.3328185328185328
Alex Molcan,,,Overall,902,0.33813747228381374,0.17738359201773837,0.4844789356984479
Alex Radulescu,,,Overall,161,0.4658385093167702,0.10559006211180125,0.42857142857142855
Alexander Blockx,,,Overall,154,0.525974025974026,0.09740259740259741,0.37662337662337664
Alexander Bublik,,,Overall,6546,0.44958753437213567,0.07454934311029636,0.47586312251756796
Alexander Cozbinov,,,Overall,114,0.5526315789473685,0.2631578947368421,0.18421052631578946
Alexander Popp,,,Overall,142,0.3591549295774648,0.176056338028169,0.4647887323943662
Alexander Ritschard,,,Overall,62,0.3548387096774194,0.25806451612903225,0.3870967741935484
Alexander Shevchenko,,,Overall,1257,0.5107398568019093,0.07398568019093078,0.4152744630071599
Alexander Vasilenko,,,Overall,43,0.4883720930232558,0.23255813953488372,0.27906976744186046
Alexander Volkov,,,Overall,312,0.44871794871794873,0.13782051282051283,0.41346153846153844
Alexander Waske,,,Overall,58,0.29310344827586204,0.2413793103448276,0.46551724137931033
Alexander Zverev,,,Overall,14130,0.4503892427459306,0.06942675159235669,0.48018400566171265
Alexandr Dolgopolov,,,Overall,1931,0.6172967374417401,0.0735370274469187,0.3091662351113413
Alexandre Muller,,,Overall,933,0.4694533762057878,0.12111468381564845,0.40943193997856375
Alexandre Penaud,,,Overall,54,0.5185185185185185,0.3333333333333333,0.14814814814814814
Alexei Popyrin,,,Overall,2618,0.48739495798319327,0.07372039724980901,0.43888464476699773
Alexis Galarneau,,,Overall,301,0.5016611295681063,0.15614617940199335,0.34219269102990035
Aljaz Bedene,,,Overall,2179,0.4148692060578247,0.05828361633776962,0.5268471776044057
Altug Celikbilek,,,Overall,53,0.5094339622641509,0.22641509433962265,0.2641509433962264
Alvaro Guillen Meza,,,Overall,273,0.45787545787545786,0.01098901098901099,0.5311355311355311
Amir Weintraub,,,Overall,78,0.38461538461538464,0.1282051282051282,0.48717948717948717
Amos Mansdorf,,,Overall,103,0.42718446601941745,0.10679611650485436,0.46601941747572817
Anders Jarryd,,,Overall,106,0.5,0.05660377358490566,0.44339622641509435
Andre Agassi,,,Overall,18945,0.5453153866455529,0.06450250725785167,0.3901821060965954
Andrea Arnaboldi,,,Overall,86,0.5116279069767442,0.1511627906976744,0.3372093023255814
Andrea Collarini,,,Overall,52,0.38461538461538464,0.2692307692307692,0.34615384615384615
Andrea Gaudenzi,,,Overall,244,0.46311475409836067,0.21721311475409835,0.319672131147541
Andrea Pellegrino,,,Overall,135,0.45925925925925926,0.23703703703703705,0.3037037037037037
Andrea Vavassori,,,Overall,323,0.4891640866873065,0.07739938080495357,0.43343653250773995
Andreas Haider Maurer,,,Overall,343,0.41690962099125367,0.14285714285714285,0.4402332361516035
Andreas Seppi,,,Overall,2304,0.4826388888888889,0.046440972222222224,0.4709201388888889
Andreas Vinciguerra,,,Overall,61,0.4262295081967213,0.08196721311475409,0.4918032786885246
Andrei Cherkasov,,,Overall,237,0.41350210970464135,0.16033755274261605,0.42616033755274263
Andrei Chesnokov,,,Overall,1281,0.4527712724434036,0.20062451209992194,0.34660421545667447
Andrei Medvedev,,,Overall,872,0.5951834862385321,0.06192660550458716,0.34288990825688076
Andrei Pavel,,,Overall,613,0.49592169657422513,0.05057096247960848,0.4535073409461664
Andrei Stoliarov,,,Overall,98,0.3877551020408163,0.19387755102040816,0.41836734693877553
Andrej Martin,,,Overall,170,0.4235294117647059,0.11176470588235295,0.4647058823529412
Andres Gomez,,,Overall,628,0.42356687898089174,0.044585987261146494,0.5318471337579618
Andrew Castle,,,Overall,122,0.39344262295081966,0.14754098360655737,0.45901639344262296
Andrew Foster,,,Overall,86,0.45348837209302323,0.06976744186046512,0.47674418604651164
Andrew Harris,,,Overall,55,0.34545454545454546,0.09090909090909091,0.5636363636363636
Andrey Golubev,,,Overall,297,0.5084175084175084,0.11447811447811448,0.3771043771043771
Andrey Kuznetsov,,,Overall,235,0.3872340425531915,0.15319148936170213,0.4595744680851064
Andrey Rublev,,,Overall,12474,0.4775533108866442,0.04449254449254449,0.47795414462081126
Andy Murray,,,Overall,21069,0.4699321277706583,0.07902605724049551,0.45104181498884616
Andy Roddick,,,Overall,9680,0.44194214876033056,0.0743801652892562,0.4836776859504132
Ante Pavic,,,Overall,81,0.4691358024691358,0.08641975308641975,0.4444444444444444
Antoine Bellier,,,Overall,119,0.46218487394957986,0.12605042016806722,0.4117647058823529
Antoine Escoffier,,,Overall,133,0.45112781954887216,0.17293233082706766,0.37593984962406013
Antoine Hoang,,,Overall,47,0.40425531914893614,0.1276595744680851,0.46808510638297873
Antonio Veic,,,Overall,53,0.41509433962264153,0.07547169811320754,0.5094339622641509
